Q9H7C9,AAMDC
Q4L235,AASDH
Q9NRN7,AASDHPPT
Q9UDR5,AASS
Q2M3G0,ABCB5
P61221,ABCE1
Q8NFV4,ABHD11
Q8WTS1,ABHD5
O14639,ABLIM1
Q12979,ABR
Q969K4,ABTB1
Q9UKU7,ACAD8
Q9H845,ACAD9
P11310,ACADM
P16219,ACADS
P16112,ACAN
P24752,ACAT1
Q9NUN7,ACER3
Q99798,ACO2
Q86TX2,ACOT1
Q8WXI4,ACOT11
P49753,ACOT2
Q9Y305,ACOT9
O15254,ACOX3
P24666,ACP1
Q96CM8,ACSF2
P68133,ACTA1
P62736,ACTA2
P68032,ACTC1
P63267,ACTG2
P12814,ACTN1
P35609,ACTN2
Q08043,ACTN3
P42025,ACTR1B
P61158,ACTR3
P27037,ACVR2A
P07311,ACYP1
Q9UKJ8,ADAM21
Q9BZ11,ADAM33
P82987,ADAMTSL3
Q7Z6V5,ADAT2
Q08828,ADCY1
Q8NFM4,ADCY4
O95622,ADCY5
O43306,ADCY6
P35611,ADD1
Q9UEY8,ADD3
Q8N7X0,ADGB
P40394,ADH7
P30566,ADSL
Q8N142,ADSSL1
Q8TED9,AFAP1L1
Q9Y4W6,AFG3L2
P02771,AFP
P35573,AGL
O00468,AGRN
Q5TGY3,AHDC1
A9YTQ3,AHRR
P02765,AHSG
Q9NZD4,AHSP
Q9BQI0,AIF1L
Q12904,AIMP1
Q13155,AIMP2
Q96IF1,AJUBA
P00568,AK1
Q9UIJ7,AK3
P27144,AK4
Q9Y6K8,AK5
Q92667,AKAP1
Q9Y2D5,AKAP2
Q13023,AKAP6
Q9NQ31,AKIP1
P31749,AKT1
Q96B36,AKT1S1
P30038,ALDH4A1
P04075,ALDOA
P09972,ALDOC
Q9NXW9,ALKBH4
Q9BT30,ALKBH7
Q9BYJ1,ALOXE3
Q86TB3,ALPK2
Q96L96,ALPK3
Q60I27,ALS2CL
Q9Y303,AMDHD2
Q9UM13,ANAPC10
Q9BS18,ANAPC13
Q9Y264,ANGPT4
Q01484,ANK2
Q12955,ANK3
Q8N6S4,ANKRD13C
Q8IVF6,ANKRD18A
Q8TF21,ANKRD24
Q7Z3H0,ANKRD33
P39687,ANP32A
O43423,ANP32C
O95626,ANP32D
Q9BTT0,ANP32E
Q9UJ72,ANXA10
P50995,ANXA11
P07355,ANXA2
P12429,ANXA3
P08758,ANXA5
P08133,ANXA6
Q9BXS5,AP1M1
Q9Y6Q5,AP1M2
Q96CW1,AP2M1
O95704,APBB3
P25054,APC
P02652,APOA2
Q9Y235,APOBEC2
Q9BUR5,APOO
Q6UXV4,APOOL
Q9UKG1,APPL1
P07741,APRT
P10275,AR
Q8WZ64,ARAP2
Q8WWN8,ARAP3
P84077,ARF1
P61204,ARF3
P18085,ARF4
P84085,ARF5
Q07960,ARHGAP1
Q9P2N2,ARHGAP28
Q52LW3,ARHGAP29
O15013,ARHGEF10
A8MVX0,ARHGEF33
Q9NXL2,ARHGEF38
Q14865,ARID5B
P40616,ARL1
Q5H913,ARL13A
P36404,ARL2
Q9Y2Y0,ARL2BP
P36405,ARL3
Q8N6S5,ARL6IP6
Q8NEN0,ARMC2
Q9P291,ARMCX1
Q7L311,ARMCX2
Q7L4S7,ARMCX6
P15848,ARSB
Q6ZVZ8,ASB18
Q96Q27,ASB2
Q9Y294,ASF1A
O95671,ASMTL
P45381,ASPA
Q86U10,ASPG
Q12797,ASPH
Q8NBU5,ATAD1
Q9NVI7,ATAD3A
Q96QE3,ATAD5
P18846,ATF1
P15336,ATF2
O00244,ATOX1
P98196,ATP11A
P05023,ATP1A1
P50993,ATP1A2
P13637,ATP1A3
Q13733,ATP1A4
P05026,ATP1B1
O14983,ATP2A1
P16615,ATP2A2
Q93084,ATP2A3
Q99766,ATP5S
O75348,ATP6V1G1
Q8N5M1,ATPAF2
Q5VV63,ATRNL1
Q9UBB4,ATXN10
Q99700,ATXN2
Q9NQS1,AVEN
O75366,AVIL
Q58HT5,AWAT1
Q96L58,B3GALT6
Q92934,BAD
